param_value,timestep,ranking,count,total,proportion
3.0,7,6,17,210,0.08095238095238096
3.0,7,7,16,210,0.0761904761904762
3.0,7,8,69,210,0.32857142857142857
3.0,7,9,58,210,0.2761904761904762
3.0,7,10,21,210,0.1
3.0,8,1,5,210,0.023809523809523808
3.0,8,2,1,210,0.004761904761904762
3.0,8,3,5,210,0.023809523809523808
3.0,8,4,4,210,0.01904761904761905
3.0,8,5,6,210,0.02857142857142857
3.0,8,6,13,210,0.06190476190476191
3.0,8,7,15,210,0.07142857142857142
3.0,8,8,75,210,0.35714285714285715
3.0,8,9,62,210,0.29523809523809524
3.0,8,10,24,210,0.11428571428571428
3.0,9,1,5,210,0.023809523809523808
3.0,9,2,1,210,0.004761904761904762
3.0,9,3,5,210,0.023809523809523808
3.0,9,4,3,210,0.014285714285714285
3.0,9,5,6,210,0.02857142857142857
3.0,9,6,12,210,0.05714285714285714
3.0,9,7,15,210,0.07142857142857142
3.0,9,8,68,210,0.3238095238095238
3.0,9,9,71,210,0.3380952380952381
3.0,9,10,24,210,0.11428571428571428
3.0,10,1,5,210,0.023809523809523808
3.0,10,2,1,210,0.004761904761904762
3.0,10,3,4,210,0.01904761904761905
3.0,10,4,3,210,0.014285714285714285
3.0,10,5,6,210,0.02857142857142857
3.0,10,6,11,210,0.05238095238095238
3.0,10,7,17,210,0.08095238095238096
3.0,10,8,68,210,0.3238095238095238
3.0,10,9,68,210,0.3238095238095238
3.0,10,10,27,210,0.12857142857142856
3.0,11,1,4,210,0.01904761904761905
3.0,11,2,1,210,0.004761904761904762
3.0,11,3,4,210,0.01904761904761905
3.0,11,4,3,210,0.014285714285714285
3.0,11,5,3,210,0.014285714285714285
3.0,11,6,10,210,0.047619047619047616
3.0,11,7,21,210,0.1
3.0,11,8,68,210,0.3238095238095238
3.0,11,9,65,210,0.30952380952380953
3.0,11,10,31,210,0.14761904761904762
3.0,12,1,3,210,0.014285714285714285
3.0,12,2,1,210,0.004761904761904762
3.0,12,3,2,210,0.009523809523809525
3.0,12,4,3,210,0.014285714285714285
3.0,12,5,1,210,0.004761904761904762
3.0,12,6,8,210,0.0380952380952381
3.0,12,7,23,210,0.10952380952380952
3.0,12,8,68,210,0.3238095238095238
3.0,12,9,70,210,0.3333333333333333
3.0,12,10,31,210,0.14761904761904762
3.0,13,1,3,210,0.014285714285714285
3.0,13,2,1,210,0.004761904761904762
3.0,13,3,2,210,0.009523809523809525
3.0,13,4,3,210,0.014285714285714285
3.0,13,5,1,210,0.004761904761904762
3.0,13,6,9,210,0.04285714285714286
3.0,13,7,25,210,0.11904761904761904
3.0,13,8,67,210,0.319047619047619
3.0,13,9,68,210,0.3238095238095238
3.0,13,10,31,210,0.14761904761904762
3.0,14,1,3,210,0.014285714285714285
3.0,14,2,1,210,0.004761904761904762
3.0,14,3,2,210,0.009523809523809525
3.0,14,4,3,210,0.014285714285714285
3.0,14,5,1,210,0.004761904761904762
3.0,14,6,8,210,0.0380952380952381
3.0,14,7,31,210,0.14761904761904762
3.0,14,8,66,210,0.3142857142857143
3.0,14,9,71,210,0.3380952380952381
3.0,14,10,24,210,0.11428571428571428
3.0,15,1,3,210,0.014285714285714285
3.0,15,3,2,210,0.009523809523809525
3.0,15,4,1,210,0.004761904761904762
3.0,15,5,1,210,0.004761904761904762
3.0,15,6,12,210,0.05714285714285714
3.0,15,7,21,210,0.1
3.0,15,8,69,210,0.32857142857142857
3.0,15,9,69,210,0.32857142857142857
3.0,15,10,32,210,0.1523809523809524
4.0,0,1,19,210,0.09047619047619047
4.0,0,2,9,210,0.04285714285714286
4.0,0,3,14,210,0.06666666666666667
4.0,0,4,25,210,0.11904761904761904
4.0,0,5,19,210,0.09047619047619047
4.0,0,6,21,210,0.1
4.0,0,7,24,210,0.11428571428571428
4.0,0,8,17,210,0.08095238095238096
4.0,0,9,24,210,0.11428571428571428
4.0,0,10,38,210,0.18095238095238095
4.0,1,1,14,210,0.06666666666666667
4.0,1,2,7,210,0.03333333333333333
4.0,1,3,14,210,0.06666666666666667
4.0,1,4,18,210,0.08571428571428572
4.0,1,5,16,210,0.0761904761904762
4.0,1,6,2,210,0.009523809523809525
4.0,1,7,17,210,0.08095238095238096
4.0,1,8,61,210,0.2904761904761905
4.0,1,9,45,210,0.21428571428571427
4.0,1,10,16,210,0.0761904761904762
4.0,2,1,14,210,0.06666666666666667
4.0,2,2,7,210,0.03333333333333333
