Timestamp,Graph Type,Communication Style,Param Value,Bot Present,Is DeGroot Baseline,Mean Agreement Level,Std Agreement Level,Min Agreement Level,Max Agreement Level,Mean Dev from Mean,Mean Dev from Bot,DeGroot Gap
0,random_geometric,Passive-Aggressive,1.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.3076923076923075
0,random_geometric,Passive-Aggressive,1.0,Y,True,4.6923076923076925,2.240878948434846,1.0,7.0,,0.5897435897435896,0.3076923076923075
0,random_geometric,Passive-Aggressive,2.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,random_geometric,Passive-Aggressive,2.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,random_geometric,Passive-Aggressive,2.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,random_geometric,Passive-Aggressive,2.0,Y,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,random_geometric,Passive-Aggressive,4.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,random_geometric,Passive-Aggressive,4.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,random_geometric,Passive-Aggressive,4.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.16000000000000014
0,random_geometric,Passive-Aggressive,4.0,Y,True,4.84,2.1540659228538015,1.0,7.0,,0.5733333333333333,0.16000000000000014
0,random_geometric,Passive-Aggressive,8.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,random_geometric,Passive-Aggressive,8.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,random_geometric,Passive-Aggressive,8.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.16000000000000014
0,random_geometric,Passive-Aggressive,8.0,Y,True,4.84,2.1540659228538015,1.0,7.0,,0.5733333333333333,0.16000000000000014
0,scale_free,Aggressive,1.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Aggressive,1.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Aggressive,1.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.16000000000000014
0,scale_free,Aggressive,1.0,Y,True,4.84,2.1540659228538015,1.0,7.0,,0.5733333333333333,0.16000000000000014
0,scale_free,Aggressive,2.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Aggressive,2.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Aggressive,2.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Aggressive,2.0,Y,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Aggressive,3.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Aggressive,3.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Aggressive,3.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.16000000000000014
0,scale_free,Aggressive,3.0,Y,True,4.84,2.1540659228538015,1.0,7.0,,0.5733333333333333,0.16000000000000014
0,scale_free,Aggressive,4.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Aggressive,4.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Aggressive,4.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Aggressive,4.0,Y,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Assertive,1.0,N,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Assertive,1.0,N,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Assertive,1.0,Y,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Assertive,1.0,Y,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Assertive,2.0,N,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Assertive,2.0,N,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Assertive,2.0,Y,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Assertive,2.0,Y,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Assertive,3.0,N,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Assertive,3.0,N,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Assertive,3.0,Y,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.21052631578947345
0,scale_free,Assertive,3.0,Y,True,4.7894736842105265,2.170538539934921,1.0,7.0,,0.5789473684210527,0.21052631578947345
0,scale_free,Assertive,4.0,N,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Assertive,4.0,N,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Assertive,4.0,Y,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.10810810810810789
0,scale_free,Assertive,4.0,Y,True,4.891891891891892,2.1053342804486967,1.0,7.0,,0.5675675675675675,0.10810810810810789
0,scale_free,Passive,1.0,N,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Passive,1.0,N,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Passive,1.0,Y,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.21052631578947345
0,scale_free,Passive,1.0,Y,True,4.7894736842105265,2.1705385399349204,1.0,7.0,,0.5789473684210527,0.21052631578947345
0,scale_free,Passive,2.0,N,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Passive,2.0,N,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Passive,2.0,Y,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Passive,2.0,Y,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Passive,3.0,N,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Passive,3.0,N,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Passive,3.0,Y,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Passive,3.0,Y,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Passive,4.0,N,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.0
0,scale_free,Passive,4.0,N,True,5.0,2.02837021134844,3.0,7.0,,0.5555555555555556,0.0
0,scale_free,Passive,4.0,Y,False,5.0,2.02837021134844,3.0,7.0,2.0,0.5555555555555556,0.21052631578947345
0,scale_free,Passive,4.0,Y,True,4.7894736842105265,2.170538539934921,1.0,7.0,,0.5789473684210527,0.21052631578947345
0,scale_free,Passive-Aggressive,1.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,1.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,1.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,1.0,Y,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,2.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,2.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,2.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.44444444444444464
0,scale_free,Passive-Aggressive,2.0,Y,True,4.555555555555555,2.3094010767585034,1.0,7.0,,0.6049382716049382,0.44444444444444464
0,scale_free,Passive-Aggressive,3.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,3.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,3.0,Y,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,3.0,Y,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,4.0,N,False,5.0,2.043015673820997,3.0,7.0,2.0,0.5555555555555555,0.0
0,scale_free,Passive-Aggressive,4.0,N,True,5.0,2.043015673820997,3.0,7.0,,0.5555555555555555,0.0
