param_name,param_value,trial_id,timestep,semantic_variance,semantic_spread,polarization_index,mean_similarity,num_reasons
p,0.5,0,12,0.042697593569755554,0.5844491124153137,0.5764174163341522,0.4235825836658478,3
p,0.5,0,13,0.0,0.0,0.0,1.0,0
p,0.5,0,14,0.0,0.0,0.0,1.0,0
p,0.5,0,15,0.0,0.0,0.0,1.0,0
p,0.5,1,0,0.07841511070728302,0.3938728868961334,0.2502332329750061,0.7497667670249939,15
p,0.5,1,1,0.020520318299531937,0.49809542298316956,0.33577418327331543,0.6642258167266846,5
p,0.5,1,2,0.0,0.0,-1.1920928955078125e-07,1.0000001192092896,2
p,0.5,1,3,0.0,0.0,0.0,1.0,0
p,0.5,1,4,0.0,0.0,0.0,1.0,1
p,0.5,1,5,0.0,0.5771671533584595,0.666243851184845,0.33375614881515503,2
p,0.5,1,6,0.06348807364702225,0.4791457951068878,0.35168248414993286,0.6483175158500671,6
p,0.5,1,7,0.013757070526480675,0.288252592086792,0.10222691297531128,0.8977730870246887,19
p,0.5,1,8,0.010812293738126755,0.3523102402687073,0.14393043518066406,0.8560695648193359,16
p,0.5,1,9,0.011629126965999603,0.3595716059207916,0.1644076108932495,0.8355923891067505,7
p,0.5,1,10,0.0,0.18546916544437408,0.0687975287437439,0.9312024712562561,2
p,0.5,1,11,0.0,0.0,0.0,1.0,1
p,0.5,1,12,0.0,0.43402358889579773,0.37675297260284424,0.6232470273971558,2
p,0.5,1,13,0.003744405461475253,0.3525274395942688,0.16002494096755981,0.8399750590324402,5
p,0.5,1,14,0.01809992641210556,0.46000242233276367,0.34455323219299316,0.6554467678070068,3
p,0.5,1,15,0.0,0.0,0.0,1.0,0
p,0.5,2,0,0.06892847269773483,0.39897000789642334,0.24236208200454712,0.7576379179954529,17
p,0.5,2,1,0.0016313999658450484,0.34939005970954895,0.15463095903396606,0.8453690409660339,5
p,0.5,2,2,0.04319978132843971,0.29857757687568665,0.14558321237564087,0.8544167876243591,11
p,0.5,2,3,0.0,0.0,0.0,1.0,1
p,0.5,2,4,0.0,0.20499493181705475,0.08404576778411865,0.9159542322158813,2
p,0.5,2,5,0.05092484876513481,0.3608568608760834,0.1976100206375122,0.8023899793624878,12
p,0.5,2,6,0.06303716450929642,0.47827112674713135,0.3160954713821411,0.6839045286178589,13
p,0.5,2,7,0.050606802105903625,0.4995729923248291,0.32746899127960205,0.672531008720398,12
p,0.5,2,8,0.05490465089678764,0.37803491950035095,0.21579819917678833,0.7842018008232117,12
p,0.5,2,9,0.0249626561999321,0.6330423951148987,0.44505560398101807,0.5549443960189819,23
p,0.5,2,10,0.04808739572763443,0.6081129312515259,0.43336617946624756,0.5666338205337524,28
p,0.5,2,11,0.04097594693303108,0.5721679329872131,0.42974406480789185,0.5702559351921082,7
p,0.5,2,12,0.03047720529139042,0.49377894401550293,0.41144227981567383,0.5885577201843262,3
p,0.5,2,13,0.00034131252323277295,0.6131457686424255,0.4703613519668579,0.5296386480331421,5
p,0.5,2,14,0.0,0.0,5.960464477539063e-08,0.9999999403953552,2
p,0.5,2,15,0.0,0.0,0.0,1.0,0
p,0.7,0,0,0.04903962090611458,0.42263278365135193,0.23755621910095215,0.7624437808990479,24
p,0.7,0,1,0.02463172934949398,0.4150925278663635,0.21006232500076294,0.7899376749992371,16
p,0.7,0,2,0.02704590931534767,0.11379934847354889,0.042101263999938965,0.957898736000061,20
p,0.7,0,3,0.0,0.2838171124458313,0.1611042618751526,0.8388957381248474,2
p,0.7,0,4,0.019420171156525612,0.1818995177745819,0.05513298511505127,0.9448670148849487,21
p,0.7,0,5,0.02185589261353016,0.43109190464019775,0.22846561670303345,0.7715343832969666,11
p,0.7,0,6,0.021211927756667137,0.19765985012054443,0.06205415725708008,0.9379458427429199,35
p,0.7,0,7,0.0026416019536554813,0.10947280377149582,0.015210926532745361,0.9847890734672546,26
p,0.7,0,8,0.035257626324892044,0.2759375274181366,0.11537766456604004,0.88462233543396,29
p,0.7,0,9,0.04121066629886627,0.4764041602611542,0.27848583459854126,0.7215141654014587,27
p,0.7,0,10,0.0012103044427931309,0.5788251161575317,0.34969866275787354,0.6503013372421265,26
p,0.7,0,11,0.015189099125564098,0.5149730443954468,0.301954448223114,0.698045551776886,14
p,0.7,0,12,0.012733172625303268,0.5593579411506653,0.33684247732162476,0.6631575226783752,30
p,0.7,0,13,0.0078298170119524,0.4368981122970581,0.20438718795776367,0.7956128120422363,36
p,0.7,0,14,0.008700690232217312,0.4086107313632965,0.18098652362823486,0.8190134763717651,34
p,0.7,0,15,0.0,0.0,0.0,1.0,0
p,0.7,1,0,0.03236861526966095,0.4347596764564514,0.23719775676727295,0.762802243232727,15
p,0.7,1,1,0.02222100831568241,0.48484817147254944,0.385948121547699,0.614051878452301,3
p,0.7,1,2,0.0,0.0,0.0,1.0,0
p,0.7,1,3,0.0,0.0,0.0,1.0,0
p,0.7,1,4,0.0,0.0,0.0,1.0,0
p,0.7,1,5,0.0,0.0,0.0,1.0,1
p,0.7,1,6,0.0,0.4652501344680786,0.4329153299331665,0.5670846700668335,2
