param_value,timestep,ranking,count,total,proportion
2.0,14,6,15,123,0.12195121951219512
2.0,14,7,11,123,0.08943089430894309
2.0,14,8,55,123,0.44715447154471544
2.0,14,9,33,123,0.2682926829268293
2.0,15,1,4,123,0.032520325203252036
2.0,15,2,1,123,0.008130081300813009
2.0,15,3,2,123,0.016260162601626018
2.0,15,6,12,123,0.0975609756097561
2.0,15,7,19,123,0.15447154471544716
2.0,15,8,53,123,0.43089430894308944
2.0,15,9,32,123,0.2601626016260163
2.0,16,1,4,123,0.032520325203252036
2.0,16,3,1,123,0.008130081300813009
2.0,16,4,2,123,0.016260162601626018
2.0,16,6,20,123,0.16260162601626016
2.0,16,7,15,123,0.12195121951219512
2.0,16,8,52,123,0.42276422764227645
2.0,16,9,29,123,0.23577235772357724
2.0,17,1,8,123,0.06504065040650407
2.0,17,2,2,123,0.016260162601626018
2.0,17,3,3,123,0.024390243902439025
2.0,17,5,1,123,0.008130081300813009
2.0,17,6,14,123,0.11382113821138211
2.0,17,7,14,123,0.11382113821138211
2.0,17,8,58,123,0.4715447154471545
2.0,17,9,23,123,0.18699186991869918
2.0,18,1,9,123,0.07317073170731707
2.0,18,3,1,123,0.008130081300813009
2.0,18,5,1,123,0.008130081300813009
2.0,18,6,8,123,0.06504065040650407
2.0,18,7,11,123,0.08943089430894309
2.0,18,8,68,123,0.5528455284552846
2.0,18,9,25,123,0.2032520325203252
2.0,19,1,14,123,0.11382113821138211
2.0,19,3,2,123,0.016260162601626018
2.0,19,6,6,123,0.04878048780487805
2.0,19,7,9,123,0.07317073170731707
2.0,19,8,59,123,0.4796747967479675
2.0,19,9,33,123,0.2682926829268293
2.0,20,1,14,123,0.11382113821138211
2.0,20,2,1,123,0.008130081300813009
2.0,20,3,2,123,0.016260162601626018
2.0,20,4,1,123,0.008130081300813009
2.0,20,6,9,123,0.07317073170731707
2.0,20,7,9,123,0.07317073170731707
2.0,20,8,58,123,0.4715447154471545
2.0,20,9,29,123,0.23577235772357724
3.0,0,1,3,123,0.024390243902439025
3.0,0,3,60,123,0.4878048780487805
3.0,0,7,60,123,0.4878048780487805
3.0,1,1,3,123,0.024390243902439025
3.0,1,3,60,123,0.4878048780487805
3.0,1,7,59,123,0.4796747967479675
3.0,1,8,1,123,0.008130081300813009
3.0,2,1,3,123,0.024390243902439025
3.0,2,3,55,123,0.44715447154471544
3.0,2,6,1,123,0.008130081300813009
3.0,2,7,56,123,0.45528455284552843
3.0,2,8,8,123,0.06504065040650407
3.0,3,1,3,123,0.024390243902439025
3.0,3,3,43,123,0.34959349593495936
3.0,3,6,3,123,0.024390243902439025
3.0,3,7,51,123,0.4146341463414634
3.0,3,8,15,123,0.12195121951219512
3.0,3,9,8,123,0.06504065040650407
3.0,4,1,3,123,0.024390243902439025
3.0,4,3,34,123,0.2764227642276423
3.0,4,6,6,123,0.04878048780487805
3.0,4,7,44,123,0.35772357723577236
3.0,4,8,25,123,0.2032520325203252
3.0,4,9,11,123,0.08943089430894309
3.0,5,1,3,123,0.024390243902439025
3.0,5,3,23,123,0.18699186991869918
3.0,5,5,1,123,0.008130081300813009
3.0,5,6,9,123,0.07317073170731707
3.0,5,7,39,123,0.3170731707317073
3.0,5,8,36,123,0.2926829268292683
3.0,5,9,12,123,0.0975609756097561
3.0,6,1,3,123,0.024390243902439025
3.0,6,3,14,123,0.11382113821138211
3.0,6,4,2,123,0.016260162601626018
3.0,6,6,11,123,0.08943089430894309
3.0,6,7,32,123,0.2601626016260163
3.0,6,8,40,123,0.3252032520325203
3.0,6,9,21,123,0.17073170731707318
3.0,7,1,3,123,0.024390243902439025
3.0,7,3,7,123,0.056910569105691054
3.0,7,4,1,123,0.008130081300813009
3.0,7,5,1,123,0.008130081300813009
3.0,7,6,13,123,0.10569105691056911
3.0,7,7,29,123,0.23577235772357724
3.0,7,8,48,123,0.3902439024390244
3.0,7,9,21,123,0.17073170731707318
3.0,8,1,3,123,0.024390243902439025
3.0,8,3,4,123,0.032520325203252036
3.0,8,4,1,123,0.008130081300813009
3.0,8,5,1,123,0.008130081300813009
3.0,8,6,9,123,0.07317073170731707
3.0,8,7,30,123,0.24390243902439024
3.0,8,8,54,123,0.43902439024390244
3.0,8,9,21,123,0.17073170731707318
3.0,9,1,3,123,0.024390243902439025
3.0,9,3,2,123,0.016260162601626018
3.0,9,5,1,123,0.008130081300813009
3.0,9,6,5,123,0.04065040650406504
3.0,9,7,26,123,0.21138211382113822
3.0,9,8,53,123,0.43089430894308944
3.0,9,9,33,123,0.2682926829268293
3.0,10,1,3,123,0.024390243902439025
3.0,10,3,1,123,0.008130081300813009
3.0,10,6,5,123,0.04065040650406504
3.0,10,7,19,123,0.15447154471544716
3.0,10,8,61,123,0.4959349593495935
3.0,10,9,34,123,0.2764227642276423
3.0,11,1,4,123,0.032520325203252036
3.0,11,6,7,123,0.056910569105691054
3.0,11,7,20,123,0.16260162601626016
3.0,11,8,63,123,0.5121951219512195
3.0,11,9,29,123,0.23577235772357724
3.0,12,1,4,123,0.032520325203252036
3.0,12,6,8,123,0.06504065040650407
3.0,12,7,19,123,0.15447154471544716
3.0,12,8,71,123,0.5772357723577236
3.0,12,9,21,123,0.17073170731707318
3.0,13,1,3,123,0.024390243902439025
3.0,13,6,6,123,0.04878048780487805
3.0,13,7,18,123,0.14634146341463414
3.0,13,8,70,123,0.5691056910569106
3.0,13,9,26,123,0.21138211382113822
3.0,14,1,3,123,0.024390243902439025
3.0,14,6,10,123,0.08130081300813008
3.0,14,7,16,123,0.13008130081300814
3.0,14,8,68,123,0.5528455284552846
3.0,14,9,26,123,0.21138211382113822
3.0,15,1,3,123,0.024390243902439025
3.0,15,4,2,123,0.016260162601626018
3.0,15,6,14,123,0.11382113821138211
3.0,15,7,12,123,0.0975609756097561
3.0,15,8,66,123,0.5365853658536586
3.0,15,9,26,123,0.21138211382113822
3.0,16,1,3,123,0.024390243902439025
3.0,16,4,3,123,0.024390243902439025
